pixel 	Counts (time normalized) 	
876 	40086.385 	
877 	40032.808 	
878 	40007.923 	
879 	40054.615 	
880 	40116.154 	
881 	40189.885 	
882 	40192.192 	
883 	40229.5 	
884 	40320.808 	
885 	40390.308 	
886 	40110 	
887 	39908.846 	
888 	39830.538 	
889 	39827.885 	
890 	39719.115 	
891 	39705.615 	
892 	39714.308 	
893 	39638.846 	
894 	39612.846 	
895 	39694.308 	
896 	39635.346 	
897 	39549.462 	
898 	39441.231 	
899 	39359.5 	
900 	39354.538 	
901 	39420.846 	
902 	39404.346 	
903 	39194.077 	
904 	39102.192 	
905 	39050.885 	
906 	39046.231 	
907 	39020.308 	
908 	38992.615 	
909 	38967.962 	
910 	38939.462 	
911 	38937.462 	
912 	38893.038 	
913 	38914.731 	
914 	38886.423 	
915 	38870.846 	
916 	38865 	
917 	38947.231 	
918 	39091.154 	
919 	38975.692 	
920 	38876.423 	
921 	38805.923 	
922 	38761.885 	
923 	38725.885 	
924 	38757.269 	
925 	38751.808 	
926 	38762.308 	
927 	38739.962 	
928 	38730.769 	
929 	38737.731 	
930 	38745.538 	
931 	38759.769 	
932 	38732.308 	
933 	38736.923 	
934 	38885.654 	
935 	38953.808 	
936 	38849.269 	
937 	38743.846 	
938 	38700.077 	
939 	38684.731 	
940 	38721.346 	
941 	38689.923 	
942 	38704.885 	
943 	38701.5 	
944 	38703.269 	
945 	38737.808 	
946 	38698.769 	
947 	38682.423 	
948 	38695.462 	
949 	38712.346 	
950 	38767.154 	
951 	38897.423 	
952 	38881.654 	
953 	38792.731 	
954 	38703.192 	
955 	38672.538 	
956 	38689.615 	
957 	38692.192 	
958 	38695.5 	
959 	38684.423 	
960 	38673.269 	
961 	38675.808 	
962 	38676.038 	
963 	38677.115 	
964 	38679.885 	
965 	38674.231 	
966 	38679.962 	
967 	38762.885 	
968 	38888.615 	
969 	38847.731 	
970 	38769.577 	
971 	38695.385 	
972 	38667.115 	
973 	38692.423 	
974 	38686.423 	
975 	38683.346 	
976 	38703.769 	
977 	38683.962 	
978 	38680.731 	
979 	38684.038 	
980 	38692.615 	
981 	38693.231 	
982 	38697.962 	
983 	38715.346 	
984 	38814.654 	
985 	38914.038 	
986 	38890.808 	
987 	38760.962 	
988 	38688.846 	
989 	38672.5 	
990 	38671.077 	
991 	38680.731 	
992 	38697.077 	
993 	38668.231 	
994 	38684.731 	
995 	38669.231 	
996 	38683.5 	
997 	38684.154 	
998 	38690.154 	
